record_type,source,asset_id,ticker,name,series_name,lot_id,auction_name,source_url,date,market_cap_usd,offering_price,shares,price_usd,estimate_low_usd,estimate_high_usd,brand,model,size,material,color,year,is_exotic,exactness_score,source_confidence,comparison_role
rally_asset,Rally seed,rally-hermes-birkin-35,HERMES35,2012 Hermes Birkin 35 Handbag,Series #HermesBirkin35,,,manual_seed,2021-05-14,168000.0,10.0,14000.0,,,,Hermes,Birkin,35,,,2012,False,,0.7,rally_market_reference
rally_asset,Rally seed,rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,,,,,2019-11-01,,58.0,1000.0,,,,Hermes,Birkin,,Lizard,25cm Blue,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,,,,,2020-02-01,,26.25,2000.0,,,,Hermes,Birkin,,Crocodile,35cm Bordeaux,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,,,,,2020-06-01,,28.0,1000.0,,,,Hermes,Birkin,,Ostrich,30cm Tangerine,,True,,1.0,rally_market_reference
rally_asset,Rally seed,rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,,,,,2020-05-01,,70.0,2000.0,,,,Hermes,Birkin,,,30cm Himalaya,,False,,1.0,rally_market_reference
rally_asset,Rally seed,rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,,,,,2020-09-01,,56.0,1000.0,,,,Hermes,Birkin,,,30cm So Black,,False,,1.0,rally_market_reference
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkinblu,,Bleu Saphir Lizard Hermès Birkin,Series #BIRKINBLU,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,58.0,1000.0,,,,Hermes,Birkin,,Lizard,Series #BIRKINBLU Bleu Saphir,,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkinbor,,2015 Hermès Birkin Bordeaux Shiny Porosus Crocodile with Gold Hardware,Series #BIRKINBOR,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,26.25,2000.0,,,,Hermes,Birkin,,Porosus Crocodile,Series #BIRKINBOR,2015,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#himalaya,,2014 Hermès 30cm Birkin Blanc Himalaya Matte Niloticus Crocodile with Palladium Hardware,Series #HIMALAYA,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,70.0,2000.0,,,,Hermes,Birkin,,Niloticus Crocodile,Series #HIMALAYA   30cm,2014,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#birkintan,,2015 Hermès 30cm Birkin Tangerine Ostrich with Palladium Hardware,Series #BIRKINTAN,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,28.0,1000.0,,,,Hermes,Birkin,,Ostrich,Series #BIRKINTAN   30cm,2015,True,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#faubourg,,2019 Hermès 20cm Sellier Faubourg Brown Multicolor Birkin with Palladium Hardware,Series #FAUBOURG,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,75.0,2000.0,,,,Hermes,Birkin,,,Series #FAUBOURG   20cm Sellier Faubourg Brown Multicolor,2019,False,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#soblack,,2010 Hermès 30cm Black Calf Box Leather “So Black” Birkin with PVD Hardware,Series #SOBLACK,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,56.0,1000.0,,,,Hermes,Birkin,,Box,Series #SOBLACK   30cm Black Calf  Leather So Black,2010,False,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000007-series-#faubourg2,,2019 Hermès 20cm Sellier Faubourg Blue Multicolor Birkin with Palladium Hardware,Series #FAUBOURG2,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000007/rsecollection1sa2025.htm,2025-09-29,,15.0,11000.0,,,,Hermes,Birkin,,,Series #FAUBOURG2   20cm Sellier Faubourg Blue Multicolor,2019,False,,0.88,rally_fundamental_context
rally_sec_series,SEC EDGAR,0001688804-0001688804-25-000004-series-#birkinblu,,SERIES #BIRKINBLU,SERIES #BIRKINBLU,,,https://www.sec.gov/Archives/edgar/data/1688804/000168880425000004/seriesbirkinbluform1u.htm,2025-05-20,,58000.0,55.0,,,,Hermes,Birkin,,,,,False,,0.8,rally_fundamental_context
sothebys_comp,Sothebys,,,"Gold Togo Birkin 25 Gold Hardware, 2021",,60,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,,,,27940.0,15000.0,20000.0,Hermes,Birkin,25,Togo,Gold,2021,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Limited Edition Black Volupto Rock Birkin 25 Palladium Hardware, 2024",,74,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,,,,63500.0,40000.0,60000.0,Hermes,Birkin,25,,Black Volupto Rock,2024,False,0.83,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Etain Epsom Birkin 35 Gold Hardware, 2014",,80,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,,,,15240.0,6000.0,10000.0,Hermes,Birkin,35,Epsom,Etain,2014,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Limited Edition Lime and Gris Perle Epsom Verso Candy Birkin 35 Palladium Hardware, 2011",,96,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,,,,12700.0,8000.0,14000.0,Hermes,Birkin,35,Epsom,Lime and Gris Perle  Verso Candy,2011,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Menthe and Vert Anis Chèvre Mysore HSS Birkin 30 Gold Hardware, 2013",,100,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2026/handbags-accessories?locale=en&lotFilter=AllLots,2026-02-12,,,,13970.0,11000.0,18000.0,Hermes,Birkin,30,Chevre,Menthe and Vert Anis  Mysore HSS,2013,False,0.83,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Black Togo Birkin 35 Gold Hardware, 2022",,62,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,40640.0,10000.0,16000.0,Hermes,Birkin,35,Togo,Black,2022,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Black Togo Birkin 35 Rose Gold Hardware, 2018",,69,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,12065.0,8000.0,14000.0,Hermes,Birkin,35,Togo,Black,2018,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"White Togo Birkin 35 Palladium Hardware, 2011",,72,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,11430.0,8000.0,14000.0,Hermes,Birkin,35,Togo,White,2011,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"White Epsom Birkin 30 Gold Hardware, 2014",,73,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,20320.0,11000.0,18000.0,Hermes,Birkin,30,Epsom,White,2014,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Gris Pantin Togo Birkin 25 Gold Hardware, 2025",,76,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,31750.0,16000.0,25000.0,Hermes,Birkin,25,Togo,Gris Pantin,2025,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Glacier Clèmence Birkin 40 Palladium Hardware, 2014",,77,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,11430.0,6000.0,12000.0,Hermes,Birkin,40,Clemence,Bleu Glacier,2014,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Azur Clèmence Birkin 30 Palladium Hardware, 2014",,78,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,17780.0,11000.0,18000.0,Hermes,Birkin,30,Clemence,Bleu Azur,2014,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Mykonos Ostrich Birkin 30 Palladium Hardware, 2011",,79,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,22860.0,12000.0,18000.0,Hermes,Birkin,30,Ostrich,Bleu Mykonos,2011,True,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Zanzibar Epsom Birkin 30 Gold Hardware, 2017",,83,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,16510.0,10000.0,16000.0,Hermes,Birkin,30,Epsom,Bleu Zanzibar,2017,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu du Nord and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2013",,84,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,11430.0,8000.0,14000.0,Hermes,Birkin,35,Epsom,Bleu du Nord and Bleu Thalassa Verso,2013,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Colvert Fjord Birkin 35 Palladium Hardware, 2012",,89,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,8890.0,7000.0,12000.0,Hermes,Birkin,35,,Bleu Colvert Fjord,2012,False,0.83,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Encre Clèmence Birkin 30 Gold Hardware, 2018",,91,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,16510.0,12000.0,18000.0,Hermes,Birkin,30,Clemence,Bleu Encre,2018,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Bleu Encre Novillo Birkin 35 Gold Hardware, 2011",,95,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,7620.0,6000.0,8000.0,Hermes,Birkin,35,,Bleu Encre Novillo,2011,False,0.83,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Raisin Clèmence Birkin 30 Gold Hardware, 2014",,103,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,12700.0,10000.0,16000.0,Hermes,Birkin,30,Clemence,Raisin,2014,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Fauve Matte Niloticus Crocodile Birkin 35 Palladium Hardware, 2011",,108,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,25400.0,18000.0,28000.0,Hermes,Birkin,35,Niloticus Crocodile,Fauve Matte,2011,True,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Havane Shiny Niloticus Crocodile Birkin 25 Gold Hardware, 2011",,109,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,53340.0,40000.0,60000.0,Hermes,Birkin,25,Niloticus Crocodile,Havane Shiny,2011,True,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Gris Eléphant Matte Porosus Crocodile Birkin 30 Gold Hardware, 2022",,111,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,44450.0,32000.0,50000.0,Hermes,Birkin,30,Porosus Crocodile,Gris Elephant Matte,2022,True,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Noisette Courchevel Birkin 35 Gold Hardware, 2002",,112,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,10160.0,8000.0,14000.0,Hermes,Birkin,35,,Noisette Courchevel,2002,False,0.83,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Etoupe Togo Birkin 35 Palladium Hardware, 2019",,119,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,15240.0,9000.0,14000.0,Hermes,Birkin,35,Togo,Etoupe,2019,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Gris Tourterelle Togo Birkin 35 Palladium Hardware, 2007",,120,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,10795.0,7000.0,14000.0,Hermes,Birkin,35,Togo,Gris Tourterelle,2007,False,0.9099999999999999,0.7,secondary_realized_comp
sothebys_comp,Sothebys,,,"Gris Etain and Bleu Thalassa Verso Epsom Birkin 35 Palladium Hardware, 2011",,121,Handbags & Accessories,https://www.sothebys.com/en/buy/auction/2025/handbags-accessories-3?locale=en,2025-12-15,,,,10160.0,7000.0,12000.0,Hermes,Birkin,35,Epsom,Gris Etain and Bleu Thalassa Verso,2011,False,0.9099999999999999,0.7,secondary_realized_comp
