asset_id,ticker,name,category,subcategory,brand,model,year,size,material,color,hardware,offering_date,offering_market_cap_usd,current_market_cap_usd,acquisition_cost_usd,last_trade_price,bid_price,ask_price,share_count,sec_filing_url,status,exit_date,exit_market_cap_usd,source_notes
rally-00mouton,00MOUTON,2000 Château Mouton Rothschild,wine and whiskey,wine,,,2000.0,,,Chateau Mouton Rothschild,,2021-04-01,27000.0,15800.0,,7.9,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-03tache,03TACHE,2003 Domaine de la Romanée-Conti La Tâche,wine and whiskey,wine,,,2003.0,,,Domaine de la Romanee-Conti La Tache,,2020-11-01,78000.0,63180.0,,4.05,,,15600.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-05latour,05LATOUR,2005 Château Latour,wine and whiskey,wine,,,2005.0,,,Chateau Latour,,2020-09-01,9800.0,12350.0,,12.35,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-06brm,06BRM,2006 Giacomo Conterno Barolo Riserva Monfortino,wine and whiskey,wine,,,2006.0,,,Giacomo Conterno Barolo Riserva Monfortino,,2020-12-01,18500.0,15263.0,,8.25,,,1850.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-09beaux,09BEAUX,2009 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2021-01-01,34000.0,36720.0,,5.4,,,6800.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.
rally-09rbleroy,09RBLEROY,2009 Domaine Leroy Richebourg,wine and whiskey,wine,,,2009.0,,,Domaine Leroy Richebourg,,2021-08-01,107500.0,90300.0,,21.0,,,4300.0,,trading,,,Currently trading. Submitted offering_date was 2021-08.
rally-11belair,11BELAIR,2011 Domaine du Comte Liger-Belair Vosne-Romanée Aux Reignots,wine and whiskey,wine,,,2011.0,,,Domaine du Comte Liger-Belair Vosne-Romanee Aux Reignots,,2021-03-01,22000.0,17000.0,,8.5,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-03.
rally-13beaux,13BEAUX,2013 Domaine Leroy Vosne-Romanée Les Beaux Monts,wine and whiskey,wine,,,2013.0,,,Domaine Leroy Vosne-Romanee Les Beaux Monts,,2020-11-01,25500.0,39780.0,,7.8,,,5100.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-14drc,14DRC,2014 Domaine de la Romanée-Conti Assortment,wine and whiskey,wine,,,2014.0,,,Domaine de la Romanee-Conti Assortment,,2020-09-01,54000.0,52200.0,,52.2,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-16petrus,16PETRUS,2016 Château Pétrus,wine and whiskey,wine,,,2016.0,,,Chateau Petrus,,2020-09-01,46800.0,37800.0,,4.2,,,9000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-16screag,16SCREAG,2016 Screaming Eagle,wine and whiskey,wine,,,2016.0,,,Screaming Eagle,,2020-09-01,39000.0,31350.0,,31.35,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-59bond,59BOND,Ian Fleming - Goldfinger (Dedication Copy),books,rare books,,,,,,Ian Fleming - Goldfinger (Dedication Copy),,2021-02-01,82000.0,,,,,,10250.0,,trading,,,Currently trading. Submitted offering_date was 2021-02.
rally-59jfk,59JFK,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),books,rare books,,,,,,John F. Kennedy - Profiles in Courage (Inscribed to Frank Sinatra),,2020-11-01,26000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-62bond,62BOND,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),books,rare books,,,,,,Ian Fleming - The Spy Who Loved Me (Inscribed to RFK),,2020-12-01,93000.0,,,,,,15500.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-79stella,79STELLA,1979 Rolex Coral Stella Dial Day-Date,watches,rolex,Rolex,,1979.0,,,Coral Stella Dial Day-Date,,2020-10-01,69000.0,81420.0,,5.9,,,13800.0,,trading,,,Currently trading. Submitted offering_date was 2020-10.
rally-7orlex,70RLEX,1970 Rolex Watch,watches,rolex,Rolex,,1970.0,,,Watch,,2019-11-01,20000.0,19500.0,,19.5,,,1000.0,,sold,,,"Exited via buyout for $30,000 / $30.00 per share."
rally-93daytona,93DAYTONA,1993 Rolex Zenith Daytona Inverted 6,watches,rolex,Rolex,Daytona,1993.0,,,Zenith,,2020-09-01,42000.0,36200.0,,18.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-aghowl,AGHOWL,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),books,rare books,,,,,,Allen Ginsberg - Howl and Other Poems (Inscribed First Edition),,2020-03-01,19000.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-alice,ALICE,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),books,rare books,,,,,,Lewis Carroll - Alice's Adventures in Wonderland (First Edition),,2020-09-01,12000.0,,,,,,12000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-anmlfarm,ANMLFARM,George Orwell - Animal Farm (First Edition),books,rare books,,,,,,George Orwell - Animal Farm (First Edition),,2020-11-01,10000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-aproak,APROAK,Audemars Piguet Royal Oak,watches,audemars piguet,Audemars Piguet,Royal Oak,,,,,,2019-12-01,75000.0,40650.0,,40.65,,,1000.0,,sold,,,"Exited via buyout for $110,000 / $110.00 per share; Q2 2021 retains intra-quarter secondary observation separately."
rally-baro,BARO,Barosaurus Skeleton,fossils,barosaurus,,,,,,Barosaurus Skeleton,,2025-09-01,12500000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2025-09.
rally-birkinblu,BIRKINBLU,Hermès 25cm Blue Lizard Birkin,handbags,birkin_lizard,Hermes,Birkin,,25,Lizard,Blue,,2019-11-01,58000.0,30900.0,,30.9,,,1000.0,,sold,,,Exited via buyout. Submitted offering_date was 2019-11.
rally-birkinbor,BIRKINBOR,Hermès 35cm Bordeaux Crocodile Birkin,handbags,birkin_crocodile,Hermes,Birkin,,35,Crocodile,Bordeaux,,2020-02-01,52500.0,34000.0,,17.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-02.
rally-birkintan,BIRKINTAN,Hermès 30cm Tangerine Ostrich Birkin,handbags,birkin_ostrich,Hermes,Birkin,,30,Ostrich,Tangerine,,2020-06-01,28000.0,25600.0,,25.6,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-bond1,BOND1,Ian Fleming - Casino Royale (First Edition),books,rare books,,,,,,Ian Fleming - Casino Royale (First Edition),,2020-06-01,39000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-bondwatch,BONDWATCH,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,watches,omega,,,,,,Pierce Brosnan Omega Seamaster James Bond Film-Worn Watch,,2022-01-01,80000.0,41000.0,,2.05,,,20000.0,,trading,,,Film-worn James Bond watch. Submitted offering_date was 2022-01.
rally-bradbury,BRADBURY,Ray Bradbury - Fahrenheit 451 (Signed First Edition),books,rare books,,,,,,Ray Bradbury - Fahrenheit 451 (Signed First Edition),,2022-02-01,18000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-brosgrimm,BROSGRIMM,Grimms' Fairy Tales (Inscribed),books,rare books,,,,,,Grimms' Fairy Tales (Inscribed),,2021-05-01,135000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-catcher,CATCHER,J.D. Salinger - The Catcher in the Rye (First Edition),books,rare books,,,,,,J.D. Salinger - The Catcher in the Rye (First Edition),,2020-06-01,12500.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-churchill,CHURCHILL,Winston Churchill - The Second World War (Signed First Edition),books,rare books,,,,,,Winston Churchill - The Second World War (Signed First Edition),,2020-07-01,7500.0,,,,,,7500.0,,trading,,,Currently trading. Submitted offering_date was 2020-07.
rally-congress,CONGRESS,Journals of the Continental Congress (1774–1775),books,rare books,,,,,,Journals of the Continental Congress (17741775),,2021-07-01,120000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2021-07.
rally-deaton,DEATON,Deaton Triceratops Skull,fossils,triceratops,,,,,,Deaton Triceratops Skull,,2021-01-01,285000.0,270750.0,,23.75,,,11400.0,,exit_announced,,,"Pending buyout vote in progress; proposed $600,000 / $52.63 per share offer has not been approved or completed. Last secondary close before pending vote was $23.75/share ($270,750 market cap). Submitted offering_date was 2021-01."
rally-dimaggio2,DIMAGGIO2,DiMaggio 2 Watch,watches,,,,,,,DiMaggio 2 Watch,,2020-11-01,21000.0,20000.0,,10.0,,,2000.0,,trading,,,Exact watch model not yet recorded. Submitted offering_date was 2020-11.
rally-dominos,DOMINOS,Domino's Pizza Special Edition Rolex Air-King,watches,rolex,Rolex,,,,,Domino's Pizza Special Edition Rolex Air-King,,2021-01-01,11000.0,10200.0,,5.1,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-01.
rally-dune,DUNE,Frank Herbert - Dune (Inscribed First Edition),books,rare books,,,,,,Frank Herbert - Dune (Inscribed First Edition),,2020-12-01,13250.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-faubourg,FAUBOURG,Hermès Faubourg,handbags,faubourg,Hermes,,,,,Faubourg,,2020-09-01,150000.0,117400.0,,58.7,,,2000.0,,sold,,,"Exited via buyout for $175,000 / $87.50 per share."
rally-faubourg2,FAUBOURG2,Hermès Faubourg 2,handbags,faubourg,Hermes,,,,,Faubourg 2,,2021-01-01,165000.0,165000.0,,15.0,,,11000.0,,sold,,,Exited via buyout. Submitted offering_date was 2021-01.
rally-frost,FROST,Robert Frost - A Boy's Will (First Edition),books,rare books,,,,,,Robert Frost - A Boy's Will (First Edition),,2019-11-01,13500.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-gatsby,GATSBY,The Great Gatsby (Signed First Edition),books,rare books,,,,,,The Great Gatsby (Signed First Edition),,2020-09-01,200000.0,,,,,,4000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-gmtblack1,GMTBLACK1,1983 Rolex GMT-Master Nipple Dial,watches,rolex,Rolex,,1983.0,,,GMT-Master Nipple Dial,,2020-06-01,28000.0,28500.0,,28.5,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-grapes,GRAPES,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),books,rare books,,,,,,John Steinbeck - The Grapes of Wrath (Inscribed First Edition),,2020-12-01,39000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-gwtw,GWTW,Gone with the Wind (Inscribed First Printing),books,rare books,,,,,,Gone with the Wind (Inscribed First Printing),,2022-02-01,25000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-hgwells,HGWELLS,H.G. Wells - The Time Machine (Inscribed First Edition),books,rare books,,,,,,H.G. Wells - The Time Machine (Inscribed First Edition),,2021-06-01,46500.0,,,,,,7500.0,,trading,,,Currently trading. Submitted offering_date was 2021-06.
rally-himalaya,HIMALAYA,Hermès 30cm Himalaya Birkin,handbags,birkin_himalaya,Hermes,Birkin,,30,,Himalaya,,2020-05-01,140000.0,93800.0,,46.9,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-05.
rally-holmes,HOLMES,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,books,rare books,,,,,,Arthur Conan Doyle - Adventures & Memoirs of Sherlock Holmes,,2021-12-01,25000.0,,,,,,2500.0,,trading,,,Currently trading. Submitted offering_date was 2021-12.
rally-huckfinn,HUCKFINN,Mark Twain - Adventures of Huckleberry Finn (First Edition),books,rare books,,,,,,Mark Twain - Adventures of Huckleberry Finn (First Edition),,2021-04-01,22000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-irobot,IROBOT,"Isaac Asimov - I, Robot (First Edition)",books,rare books,,,,,,"Isaac Asimov - I, Robot (First Edition)",,2022-01-01,8000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-jekyll,JEKYLL,Dr. Jekyll and Mr. Hyde (First Edition),books,rare books,,,,,,Dr. Jekyll and Mr. Hyde (First Edition),,2022-08-01,20000.0,,,,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-karuizawa,KARUIZAWA,Karuizawa Aqua of Life 50-Year-Old Whisky,wine and whiskey,japanese whisky,,,,,,Karuizawa Aqua of Life 50-Year-Old Whisky,,2021-11-01,65000.0,42250.0,,3.25,,,13000.0,,trading,,,Currently trading. Submitted offering_date was 2021-11.
rally-keller,KELLER,Helen Keller 1892 Book (Inscribed),books,rare books,,,,,,Helen Keller 1892 Book (Inscribed),,2022-03-01,15000.0,,,,,,3000.0,,trading,,,Currently trading. Submitted offering_date was 2022-03.
rally-kerouac,KEROUAC,Jack Kerouac - On the Road (Signed First Edition),books,rare books,,,,,,Jack Kerouac - On the Road (Signed First Edition),,2020-12-01,98000.0,,,,,,4900.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-lotf,LOTF,William Golding - Lord of the Flies (First Edition),books,rare books,,,,,,William Golding - Lord of the Flies (First Edition),,2022-03-01,14000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-03.
rally-lotr,LOTR,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),books,rare books,,,,,,J.R.R. Tolkien - The Lord of the Rings Trilogy (First Edition),,2020-06-01,29000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-06.
rally-macallan1,MACALLAN1,Macallan 30-Year-Old Blue Label Scotch Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 30-Year-Old Blue Label Scotch Whisky,,2021-11-01,13250.0,12500.0,,12.5,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2021-11.
rally-macallan2,MACALLAN2,Macallan 40-Year-Old Whisky,wine and whiskey,scotch whisky,,,,,,Macallan 40-Year-Old Whisky,,2022-02-01,30000.0,29000.0,,5.8,,,5000.0,,trading,,,Currently trading. Submitted offering_date was 2022-02.
rally-macallan3,MACALLAN3,1938 Macallan Red Ribbon Whisky,wine and whiskey,scotch whisky,,,1938.0,,,Macallan Red Ribbon Whisky,,2022-07-01,20500.0,25830.0,,6.3,,,4100.0,,trading,,,Currently trading. Submitted offering_date was 2022-07.
rally-marx,MARX,Karl Marx - Das Kapital (First Edition),books,rare books,,,,,,Karl Marx - Das Kapital (First Edition),,2021-10-01,120000.0,,,,,,8000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-megalodon,MEGALODON,Megalodon Fossil,fossils,shark,,,,,,Megalodon Fossil,,2021-10-01,600000.0,178500.0,,5.95,,,30000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-mobydick,MOBYDICK,Herman Melville - Moby-Dick (First Edition),books,rare books,,,,,,Herman Melville - Moby-Dick (First Edition),,2022-01-01,70000.0,,,,,,10000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-mosasaur,MOSASAUR,Mosasaur,fossils,mosasaur,,,,,,Mosasaur,,2021-02-01,30000.0,34200.0,,5.7,,,6000.0,,trading,,,Currently trading. Quarterly history imported. Submitted offering_date was 2021-02.
rally-newton,NEWTON,Isaac Newton - Principia (First Edition),books,rare books,,,,,,Isaac Newton - Principia (First Edition),,2021-05-01,300000.0,,,,,,30000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-newworld,NEWWORLD,Aldous Huxley - Brave New World (First Edition),books,rare books,,,,,,Aldous Huxley - Brave New World (First Edition),,2022-01-01,14000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-01.
rally-pappy1,PAPPY1,Pappy Van Winkle Bourbon Assortment,wine and whiskey,bourbon,,,,,,Pappy Van Winkle Bourbon Assortment,,2022-08-01,14000.0,65100.0,,32.55,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-picnic,PICNIC,Hermès 35cm Picnic Kelly,handbags,kelly_picnic,Hermes,Kelly,,35,,Picnic,,2020-12-01,54000.0,26600.0,,13.3,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-12.
rally-rabbit,RABBIT,The Tale of Peter Rabbit (First Edition),books,rare books,,,,,,The Tale of Peter Rabbit (First Edition),,2022-08-01,46000.0,,,,,,10000.0,,trading,,,Currently trading. Submitted offering_date was 2022-08.
rally-riviera,RIVIERA,1965 Rolex 1601 Datejust Joyera Riviera,watches,rolex,Rolex,,1965.0,,,1601 Datejust Joyera Riviera,,2021-04-01,30000.0,19800.0,,3.3,,,6000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-rlexpepsi,RLEXPEPSI,Rolex GMT-Master II Pepsi Jubilee,watches,rolex,Rolex,,,,,GMT-Master II Pepsi Jubilee,,2019-11-01,17800.0,20000.0,,10.0,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-roosevelt,ROOSEVELT,Theodore Roosevelt - African Game Trails (Signed First Edition),books,rare books,,,,,,Theodore Roosevelt - African Game Trails (Signed First Edition),,2020-03-01,19500.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-shkspr4,SHKSPR4,"Shakespeare - Comedies, Histories & Tragedies",books,rare books,,,,,,"Shakespeare - Comedies, Histories & Tragedies",,2020-07-01,115000.0,,,,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-07.
rally-smurf,SMURF,Rolex Submariner Smurf,watches,rolex,Rolex,Submariner,,,,,,2019-11-01,34500.0,36100.0,,18.05,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-snoopy,SNOOPY,Omega Speedmaster Silver Snoopy,watches,omega,,,,,,Omega Speedmaster Silver Snoopy,,2020-04-01,25500.0,27500.0,,13.75,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-04.
rally-soblack,SOBLACK,Hermès 30cm So Black Birkin,handbags,birkin_so_black,Hermes,Birkin,,30,,So Black,,2020-09-01,56000.0,35050.0,,35.05,,,1000.0,,trading,,,Currently trading. Submitted offering_date was 2020-09.
rally-steg,STEG,BCQ-24 Stegosaurus Skeleton,fossils,stegosaurus,,,,,,BCQ-24 Stegosaurus Skeleton,,2024-12-01,13750000.0,,,,,,200000.0,,sold,,,Offering complete. Will not trade on Rally. Submitted offering_date was 2024-12.
rally-tkam,TKAM,Harper Lee - To Kill a Mockingbird (Signed First Edition),books,rare books,,,,,,Harper Lee - To Kill a Mockingbird (Signed First Edition),,2020-10-01,32000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2020-10.
rally-tornek,TORNEK,Tornek-Rayville TR-900,watches,tornek-rayville,,,,,,Tornek-Rayville TR-900,,2020-11-01,165000.0,77550.0,,2.35,,,33000.0,,trading,,,Currently trading. Submitted offering_date was 2020-11.
rally-treasure,TREASURE,Treasure Island (First Edition),books,rare books,,,,,,Treasure Island (First Edition),,2022-05-01,22500.0,,,,,,4500.0,,trading,,,Currently trading. Submitted offering_date was 2022-05.
rally-twocities,TWOCITIES,Charles Dickens - A Tale of Two Cities (First Edition),books,rare books,,,,,,Charles Dickens - A Tale of Two Cities (First Edition),,2019-11-01,14500.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2019-11.
rally-ulysses,ULYSSES,James Joyce - Ulysses (Matisse Signed),books,rare books,,,,,,James Joyce - Ulysses (Matisse Signed),,2020-03-01,25500.0,,,,,,500.0,,trading,,,Currently trading. Submitted offering_date was 2020-03.
rally-walden,WALDEN,Henry David Thoreau - Walden (First Edition),books,rare books,,,,,,Henry David Thoreau - Walden (First Edition),,2021-05-01,20500.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-05.
rally-wildthing,WILDTHING,Where the Wild Things Are (Inscribed First Edition),books,rare books,,,,,,Where the Wild Things Are (Inscribed First Edition),,2021-10-01,18000.0,,,,,,2000.0,,trading,,,Currently trading. Submitted offering_date was 2021-10.
rally-wzrdofoz,WZRDOFOZ,The Wonderful Wizard of Oz (First Edition),books,rare books,,,,,,The Wonderful Wizard of Oz (First Edition),,2021-04-01,90000.0,,,,,,6000.0,,trading,,,Currently trading. Submitted offering_date was 2021-04.
rally-yoko,YOKO,Yoko Ono - Grapefruit (Signed First Edition),books,rare books,,,,,,Yoko Ono - Grapefruit (Signed First Edition),,2020-05-01,16000.0,,,,,,200.0,,trading,,,Currently trading. Submitted offering_date was 2020-05.
